,ICD9,ICD10
Stroke Broad,"""362.3""","""H34"""
Stroke Broad,"""362.30""",
Stroke Broad,"""362.31""","""H34.1"""
Stroke Broad,"""362.32""","""H34.23"""
Stroke Broad,"""362.33""","""H34.21"""
Stroke Broad,"""362.34""","""H34.0"""
Stroke Broad,"""431""",
Stroke Broad,"""432.9""",
Stroke Broad,"""433""",
Stroke Broad,"""433.0""","""I65.1"""
Stroke Broad,"""433.00""",
Stroke Broad,"""433.01""",
Stroke Broad,"""433.1""","""I65.2"""
Stroke Broad,"""433.10""",
Stroke Broad,"""433.11""",
Stroke Broad,"""433.2""","""I65.0"""
Stroke Broad,"""433.20""",
Stroke Broad,"""433.21""",
Stroke Broad,"""433.3""",
Stroke Broad,"""433.30""",
Stroke Broad,"""433.31""",
Stroke Broad,"""433.8""",
Stroke Broad,"""433.80""",
Stroke Broad,"""433.81""",
Stroke Broad,"""433.9""",
Stroke Broad,"""433.90""",
Stroke Broad,"""433.91""",
Stroke Broad,"""434""",
Stroke Broad,"""434.0""",
Stroke Broad,"""434.00""",
Stroke Broad,"""434.01""",
Stroke Broad,"""434.1""",
Stroke Broad,"""434.10""",
Stroke Broad,"""434.11""",
Stroke Broad,"""434.9""",
Stroke Broad,"""434.90""",
Stroke Broad,"""434.91""",
Stroke Broad,"""435""",
Stroke Broad,"""435.0""",
Stroke Broad,"""435.1""",
Stroke Broad,"""435.2""",
Stroke Broad,"""435.3""","""G45.0"""
Stroke Broad,"""435.8""",
Stroke Broad,"""435.9""",
Stroke Broad,"""436""",
Stroke Broad,"""437.0""","""I67.2"""
Stroke Broad,"""437.1""",
Stroke Broad,"""437.8""",
Stroke Broad,"""437.89""",
Stroke Broad,"""437.9""","""I67.9"""
Stroke Broad,"""438""",
Stroke Broad,"""438.0""",
Stroke Broad,"""438.1""",
Stroke Broad,"""438.10""",
Stroke Broad,"""438.11""",
Stroke Broad,"""438.12""",
Stroke Broad,"""438.13""",
Stroke Broad,"""438.14""",
Stroke Broad,"""438.19""",
Stroke Broad,"""438.2""",
Stroke Broad,"""438.20""",
Stroke Broad,"""438.21""",
Stroke Broad,"""438.22""",
Stroke Broad,"""438.3""",
Stroke Broad,"""438.30""",
Stroke Broad,"""438.31""",
Stroke Broad,"""438.32""",
Stroke Broad,"""438.4""",
Stroke Broad,"""438.40""",
Stroke Broad,"""438.41""",
Stroke Broad,"""438.42""",
Stroke Broad,"""438.5""",
Stroke Broad,"""438.50""",
Stroke Broad,"""438.51""",
Stroke Broad,"""438.52""",
Stroke Broad,"""438.53""",
Stroke Broad,"""438.6""",
